activation,Apple M4 ANE,Apple M4 CPU,DeepX M1,Hailo-8,Mobilint-ARIES,Qualcomm QCS6490,RTX PRO 6000 Max-Q
ELU,12.21037059,9.326798826,,2.106636208,0.885117285,4.354893789,0.927911143
GELU,25.11034689,11.58524334,1.577386467,2.104795613,0.871273669,110.5390031,0.918144522
HARDSWISH,0.814238787,9.638785446,1.543954208,2.103891898,0.866056989,45.39115182,1.226754663
LEAKYRELU,0.407658383,8.312819302,1.658994448,2.121402656,0.870906503,2.810117098,0.940102234
MISH,26.25819965,20.95798212,1.683143671,2.107930394,0.864856159,154.073054,1.133314315
PRELU,0.407435839,8.766328158,6.892138519,6.033577647,0.860355971,45.4704906,0.933879346
RELU,0.401711682,8.290890077,1.666562332,2.078007402,0.867001998,2.517316995,0.966564256
RELU6,0.446432129,8.320432676,1.650978837,2.075760929,0.87275592,2.476821135,0.930129517
SELU,12.39139497,9.460095424,92.14313292,,0.874320252,48.09085003,0.9185866
SILU,0.686481421,9.802363386,1.652530724,2.104261286,0.868540917,2.879035089,0.936452556
